ID,Title,Price,Description
1,Pc Portable Schneider SCL141CTP / Quad Core / 2 Go,"319,000 DT","Écran 14.1""  Full HD - Processeur Intel Atom x5-Z8350 Quad Core, up to 1.44GHz, 2Mo de cache - Mémoire 2Go - Stockage 32Go - Wifi - Bluetooth - Windows 10 - Couleur Gris - Garantie 1 ans"
2,PC PORTABLE SCHNEIDER SCL142ALM /  4GO /  32GO,"429,000 DT","Écran 14.1"" IPS Full HD - Processeur : Intel Celeron N3350 jusqu'à 2.4 GHz, 2 Mo de cache - Mémoire 4 Go - Disque Dur : 32 Go - Résolution: 1920 x 1080 pixels - Wifi - Bluetooth - Windows 10 - Couleur : Silver - Garantie 1 an"
3,Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go,"725,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - Garantie 1 an"
4,Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go Avec SACOCHE Offert,"729,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
5,Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11,"769,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an"
6,Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris,"769,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
7,Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu,"769,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
8,Pc Portable Thomson N14I310 / i3-10110U / 8 Go / 256 Go SSD / Windows 11,"769,000 DT","Écran 14.1"" HD (1366x768 pixels) - Processeur Intel Core i3-10110U, ( jusqu'à 4,10 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go - Disque SSD 256 Go - Graphiques Intel UHD Graphics - Webcam - Wi-Fi - Bluetooth 4.2 - 1x Micro-SD Card - 1x USB 3.0 - 1x USB 2.0 - 1x Mini HDMI - 1x 3.5 mm stereo jack - Windows 11 - Couleur Noir - Garantie 1 an"
9,Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"779,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
10,Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"779,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
